
 ------ GRADIENTS FOR IPOPT -----------
VAR #	 OBJ 	CON1	CON2	CON3	CON4	CON5	CON6	CON7	CON8	CON9	CON10	CON11	CON12	CON13	CON14	CON15	CON16	CON17	CON18	CON19	CON20	CON21	CON22	CON23	CON24	CON25	CON26	CON27	CON28	CON29	CON30	CON31	CON32	CON33	CON34	CON35	CON36	CON37	CON38	CON39	CON40	CON41	CON42	CON43	CON44	CON45	CON46	CON47	CON48	CON49	CON50	CON51	CON52	CON53	CON54	CON55	CON56	CON57	CON58	CON59	CON60	CON61	CON62	CON63	CON64	CON65	CON66	CON67	CON68	CON69	CON70	
1	-0.0199249	-1.78257e-05	-0.000255148	-5.72155e-05	-0.000136088	-0.000159498	-4.08552e-05	-0.000547015	-0.000130431	-7.5937e-05	-8.21353e-05	-1.76155e-05	-0.000259335	-7.23724e-05	-5.23691e-05	-7.18617e-05	-1.83629e-05	-0.000260004	-5.71605e-05	-5.28572e-05	-7.56089e-05	0.000588252	1.35975e-05	-0.000129287	-9.90636e-05	-0.000104253	0	0	0	0.000201836	-1.66142e-05	-0.00015278	0	0	0	0	-0.000612592	-0.000208412	-2.20534e-05	0	0	0	0	0.000110893	0.000108214	8.91368e-05	0	0	0	0	0.000141647	9.48919e-05	5.1497e-05	0	0	0	0	0	0	0	0	0.00272715	0.000255804	-0.000494063	-0.000318225	-0.000204034	6.21728e-05	0.00224455	0.000212537	0.000120691	0.000294039	
2	-0.0128043	0	-0.000189571	-4.72541e-05	-0.000115442	-0.000133581	0	-0.000372001	-0.00011663	-5.80689e-05	-6.23323e-05	0	-0.000193797	-7.31406e-05	-4.21353e-05	-5.39009e-05	0	-0.000195464	-3.22823e-05	-3.14604e-05	-5.27732e-05	0	0.000335232	0.000106389	-6.2616e-05	-7.43057e-05	0	0	0	-0.000319296	-4.56401e-05	-0.000150059	0	0	0	0	-0.00155692	-0.000186087	-9.16246e-06	0	0	0	0	-0.000425124	3.17714e-05	5.05761e-05	0	0	0	0	-0.000232531	8.71703e-05	5.69784e-05	0	0	0	0	0	0	0	0	0	0.00171877	0.000339854	-0.000219923	-0.000151971	0	0.00212433	0.000405313	9.82889e-05	0.000224289	
3	-0.0101308	0	0	-6.1359e-05	-9.93512e-05	-0.000112959	0	0	-0.000124708	-5.80837e-05	-5.95224e-05	0	0	-7.72145e-05	-3.44569e-05	-4.88793e-05	0	0	-4.60655e-05	-1.53284e-05	-4.68553e-05	0	0	0.000374086	3.14625e-05	-6.83558e-05	0	0	0	-0.00123006	-0.000223747	-0.000105431	0	0	0	0	-0.00439224	-0.000763209	-5.78126e-05	0	0	0	0	-0.000638682	-0.000196502	4.56066e-05	0	0	0	0	-0.000515074	-5.59488e-05	6.12147e-05	0	0	0	0	0	0	0	0	0	0	0.00146297	6.61616e-05	-0.000138482	0	0	0.000840606	0.000229183	0.000204779	
4	-0.0119401	0	0	0	-0.000146588	-0.000170551	0	0	0	-0.000106534	-0.000100863	0	0	0	-7.64399e-05	-7.52088e-05	0	0	0	-3.63266e-05	-6.13841e-05	0	0	0	0.000397101	-4.6636e-05	0	0	0	0	-0.00145146	-0.000289254	0	0	0	0	0	-0.0050446	-0.000503576	0	0	0	0	0	-0.000821321	-0.000102424	0	0	0	0	0	-0.000575437	4.58293e-05	0	0	0	0	0	0	0	0	0	0	0	0.00129957	-2.81537e-05	0	0	0	0.0011418	0.000606563	
5	-0.00667728	0	0	0	0	-0.000477103	0	0	0	0	-0.000432672	0	0	0	0	-0.00041209	0	0	0	0	-0.000374597	0	0	0	0	0.000100459	0	0	0	0	0	-0.0017036	0	0	0	0	0	0	-0.00512926	0	0	0	0	0	0	-0.000882206	0	0	0	0	0	0	-0.000546881	0	0	0	0	0	0	0	0	0	0	0	0	0.00103573	0	0	0	0	0.00464638	
6	0.00456334	0.00296239	-5.3807e-05	-8.42138e-06	5.59373e-05	7.4939e-05	-1.08233e-05	-0.000114359	-1.76652e-05	8.71018e-06	2.58627e-05	-5.30953e-06	-5.63362e-05	-2.03871e-05	6.42116e-06	2.52158e-05	-5.66186e-06	-5.57415e-05	-5.75537e-06	1.22185e-05	2.82263e-05	0.000376011	9.06623e-05	-6.80872e-06	1.40832e-05	3.56664e-05	0	0	0	3.85331e-05	8.89992e-05	0.000129039	0	0	0	0	-0.000106561	-4.71394e-05	-7.92423e-05	0	0	0	0	-4.01245e-05	-2.64241e-05	-3.28996e-05	0	0	0	0	7.62835e-06	4.93277e-06	-7.10555e-06	0	0	0	0	0	0	0	0	-0.000845668	0.000416677	-4.99745e-05	5.15701e-05	7.10096e-05	1.60672e-05	0.000581609	3.89627e-05	-2.69194e-05	-0.000108146	
7	0.00643491	0	0.00298179	-7.00544e-06	0.00010177	0.000128013	0	-0.000190093	-1.98562e-05	1.83387e-05	4.42391e-05	0	-0.000134948	-2.24888e-05	1.46929e-05	4.35332e-05	0	-0.000135384	2.64551e-06	2.52777e-05	4.92019e-05	0	0.00019878	0.000103082	3.11232e-05	6.03098e-05	0	0	0	-0.000231083	0.000139166	0.000214119	0	0	0	0	-0.000648095	-9.82597e-05	-0.000141522	0	0	0	0	-0.000280844	-5.65535e-05	-5.55767e-05	0	0	0	0	-0.000163658	4.22269e-06	-6.60294e-06	0	0	0	0	0	0	0	0	0	-0.00122085	0.000341243	0.000115999	0.000122633	0	0.000758635	0.00015061	-4.76972e-05	-0.000185878	
8	0.00635932	0	0	0.00237387	0.000136264	0.000149479	0	0	-0.000142473	2.51294e-05	5.18392e-05	0	0	-0.000129968	2.4664e-05	5.11835e-05	0	0	-0.000112648	3.95553e-05	5.74696e-05	0	0	0.000184943	9.09769e-05	7.00658e-05	0	0	0	0.00376692	4.08997e-05	0.000242836	0	0	0	0	-0.00180636	-0.000414321	-0.000161793	0	0	0	0	-0.000324078	-0.000179002	-6.34219e-05	0	0	0	0	-0.000269954	-7.62602e-05	-8.13733e-06	0	0	0	0	0	0	0	0	0	0	-0.00138055	0.000308928	0.00014448	0	0	0.000346303	9.37706e-06	-0.000216666	
9	0.00839187	0	0	0	0.00258569	0.000285606	0	0	0	-0.000186494	9.17515e-05	0	0	0	-0.000178709	9.46412e-05	0	0	0	-0.00015318	0.000111415	0	0	0	0.000191852	0.000165707	0	0	0	0	0.00421259	0.000351365	0	0	0	0	0	-0.00249018	-0.000542627	0	0	0	0	0	-0.000486238	-0.000214548	0	0	0	0	0	-0.000347678	-5.3034e-05	0	0	0	0	0	0	0	0	0	0	0	-0.00115312	0.000387668	0	0	0	0.000359874	-0.000220126	
10	0.00919081	0	0	0	0	0.00269023	0	0	0	0	-0.000294669	0	0	0	0	-0.000286278	0	0	0	0	-0.00025686	0	0	0	0	0.000160165	0	0	0	0	0	0.00524652	0	0	0	0	0	0	-0.00333774	0	0	0	0	0	0	-0.000653333	0	0	0	0	0	0	-0.000411888	0	0	0	0	0	0	0	0	0	0	0	0	-0.000921833	0	0	0	0	0.000993381	
