ID	EV_T	OBJ_VAL	INT0	INT1
1	5807	18.491	2	5
0	5925	5334.16	18	5
2	4952	9753.79	10	5
4	9591	13776.4	6	5
6	10291	8326.1	10	1
3	10572	7032.18	14	5
5	10612	8973.68	10	9
7	5630	12143.8	6	9
8	7035	11580.5	6	1
10	9710	12982.8	4	5
9	9927	11610.5	8	5
12	10074	13373.8	6	3
11	10110	13358.5	6	7
15	9696	13776.4	6	5
16	9948	13747.8	6	4
14	10164	14223	5	5
13	10253	13776.4	6	5
19	9878	14223	5	5
20	10415	14797.4	5	4
17	10577	14223	5	5
18	10726	12982.8	4	5
21	9747	14797.4	5	4
24	9898	14454.1	5	3
23	10256	14797.4	5	4
22	10381	14780.7	4	4
